policy,perturbation_rate,objective,access_cost,hit_ratio,local_hit_ratio,cooperative_hit_ratio,origin_miss_ratio,replication_cost,redundancy_cost,redundancy_ratio,relocation_cost,objective_std,previous_policy,selected_policy
random,0.0,6.723462203722833,6.115397687593801,0.8771807715296746,0.11727661637123671,0.7599041551584378,0.1228192277951166,5.0,0.02822580645161292,0.011760752688172048,0.0,9.276721042310028e-16,,
local_popularity,0.0,16.72791314275855,13.533362140143026,0.6375669531058519,0.45641390485689043,0.18115304824896158,0.3624330462189391,5.0,0.17191950014530663,0.07163312506054441,0.0,3.710688416924011e-15,,
global_popularity,0.0,24.924890979961493,20.324890979961488,0.4316208528354764,0.4316208528354764,0.0,0.5683791464893149,5.0,0.25,0.10416666666666669,0.0,0.0,,
diversified_popularity,0.0,2.73890820225969,2.5209483068804386,0.9873789139091969,0.10434969456400722,0.8830292193451896,0.01262108541559428,5.0,0.006553327521069459,0.0027305531337789408,0.0,4.638360521155014e-16,,
topology_greedy,0.0,2.6329614514045443,2.5536371270802194,0.98686308991164,0.11235978608019653,0.874503303831443,0.01313690941315144,2.75,0.0013513513513513514,0.0005630630630630632,0.0,0.0,,
hybrid_dqn,0.0,2.4668526765057055,2.325022685224101,0.9932556202169508,0.11763391252607107,0.8756217076908795,0.006744379107840359,3.2000000000000006,0.003323888404533565,0.0013849535018889858,0.45,4.638360521155014e-16,,
online_dqn,0.0,2.2090639016494005,2.1195625938900275,0.9999999993247911,0.11510961344465613,0.884890385880135,0.0,2.9,0.0014167393199651264,0.0005903080499854693,0.14999999999999997,4.638360521155014e-16,bootstrap_topology_greedy,
adaptive_tacc,0.0,2.2090639016494005,2.1195625938900275,0.9999999993247911,0.11510961344465613,0.884890385880135,0.0,2.9,0.0014167393199651264,0.0005903080499854693,0.14999999999999997,4.638360521155014e-16,bootstrap_topology_greedy,online_dqn
random,0.05,7.155710572566289,6.603024623140633,0.8627839314544422,0.1174127037008707,0.7453712277535717,0.13721606778411524,5.0,0.025149219412536488,0.011818200660179273,0.0,0.49651729359325586,,
local_popularity,0.05,16.48404106819412,13.622580480377955,0.6348658902176257,0.45829045596807333,0.17657543424955233,0.36513410902093185,5.0,0.1534144771008983,0.07205559948469462,0.0,0.227716046330385,,
global_popularity,0.05,24.34047185479315,20.245357589955308,0.4339600700998296,0.4339600700998296,0.0,0.566039929138728,5.0,0.22195079249099123,0.10416666666666662,0.0,0.3793522603286378,,
diversified_popularity,0.05,3.47228728678837,3.273187574278747,0.9652182219430334,0.10040665729672349,0.8648115646463101,0.03478177729552395,5.0,0.0055055395838679655,0.0025725391943724175,0.0,2.5235321376411224,,
topology_greedy,0.05,4.012871139923299,3.935807740573184,0.9450170655966733,0.11390742613192145,0.8311096394647518,0.05498293364188441,2.7451267056530217,0.0012311591798363163,0.0005798897112748784,0.0,1.4516908261136015,,
hybrid_dqn,0.05,3.6285663428911428,3.5116878627556596,0.9574668343725405,0.11903348552534214,0.8384333488471984,0.04253316486601708,3.194121588693957,0.0029442249089780214,0.0013776206181795366,0.0,1.4799169275266533,,
online_dqn,0.05,3.3983268132434383,3.268090482791594,0.9649802716695208,0.12002308610432438,0.8449571855651965,0.03501972756903678,3.19031432748538,0.003045347359951916,0.0014427288105089437,0.2903447855750488,1.1665583239465034,online_dqn,
adaptive_tacc,0.05,3.3983268132434383,3.268090482791594,0.9649802716695208,0.12002308610432438,0.8449571855651965,0.03501972756903678,3.19031432748538,0.003045347359951916,0.0014427288105089437,0.2903447855750488,1.1665583239465034,online_dqn,online_dqn
random,0.1,7.57486129243437,7.065408689676811,0.8484976824920064,0.11666960499514427,0.731828077496862,0.15150231711476994,5.0,0.02274736681986424,0.011281918642012266,0.0,0.5497043771978739,,
local_popularity,0.1,16.21751328271193,13.544887669732526,0.6372846221413165,0.45779617621318613,0.1794884459281304,0.36271537746545973,5.0,0.1429236451655224,0.07095108015978588,0.0,0.29269634452752796,,
global_popularity,0.1,24.15859397997769,20.28380066699028,0.4328293917425556,0.4328293917425556,0.0,0.5671706078642208,5.0,0.20971073961041165,0.10416666666666659,0.0,0.27222940220342956,,
diversified_popularity,0.1,3.248755850021993,3.05671182482232,0.9716438149996663,0.10334525654570746,0.8682985584539592,0.028356184607109706,5.0,0.005113556955537381,0.0025328371128426233,0.0,1.6298948022908444,,
topology_greedy,0.1,4.336466385693112,4.2625502316983095,0.9351728635265696,0.11192572370184949,0.8232471398247201,0.06482713608020656,2.697124756335283,0.0011096477148942279,0.0005527022778645712,0.0,0.9739039274752355,,
hybrid_dqn,0.1,3.963182432153974,3.8480998225794543,0.947317648248514,0.11737086546627927,0.8299467827822351,0.052682351358261985,3.1434468524251806,0.0029007595847786935,0.001444969270267215,0.0,0.962592725873574,,
online_dqn,0.1,3.283789424559124,3.1428502210991973,0.9684326629617197,0.12180713750275164,0.846625525458968,0.031567336645056704,3.491858731796812,0.0029795308474691944,0.001480600803294655,0.43676183923861944,0.5940374310312042,online_dqn,
adaptive_tacc,0.1,3.283789424559124,3.1428502210991973,0.9684326629617197,0.12180713750275164,0.846625525458968,0.031567336645056704,3.491858731796812,0.0029795308474691944,0.001480600803294655,0.43676183923861944,0.5940374310312042,online_dqn,online_dqn
random,0.15,7.7719193994159035,7.281707629655048,0.842508313374088,0.11278293768783114,0.7297253756862571,0.15749168588317028,5.0,0.02167843165338089,0.01154218754572746,0.0,0.966007827757385,,
local_popularity,0.15,16.318323247293545,13.790012452986048,0.6300209838771744,0.4536273900518708,0.1763935938253036,0.369979015380084,5.0,0.1349061552393055,0.0720431362890174,0.0,0.4989863534035762,,
global_popularity,0.15,24.026277421822737,20.415210205484872,0.42896440495644633,0.42896440495644633,0.0,0.5710355943008122,5.0,0.19505928979654796,0.10416666666666657,0.0,0.27560515974942285,,
diversified_popularity,0.15,5.25244201778509,5.052443013627742,0.9107364010235163,0.10265905917793178,0.8080773418455846,0.08926359823374218,5.0,0.0055555002309637955,0.0030140866278605843,0.0,2.9864126473810586,,
topology_greedy,0.15,5.17224727338974,5.099499792966538,0.9096171561091775,0.1119825478870967,0.7976346082220807,0.09038284314808093,2.7876516958560305,0.0009441359170045211,0.0004991038093982266,0.0,2.1527352496610153,,
hybrid_dqn,0.15,4.609793889888485,4.5020345544096845,0.927465786354893,0.1169746485211086,0.8104911378337846,0.07253421290236535,3.212146127006808,0.002417578496592445,0.00130092888010968,0.0,1.9347115677502744,,
online_dqn,0.15,3.5549060733966407,3.3432591198092596,0.9612486793507055,0.13898349104094912,0.8222651883097568,0.03875131990655272,4.242136481223169,0.00563229704221415,0.00302009538461229,0.635571930076574,1.3534761679206604,online_dqn,
adaptive_tacc,0.15,3.5549060733966407,3.3432591198092596,0.9612486793507055,0.13898349104094912,0.8222651883097568,0.03875131990655272,4.242136481223169,0.00563229704221415,0.00302009538461229,0.635571930076574,1.3534761679206604,online_dqn,online_dqn
